ID,PaperID,Authors
143,1732456, 'Andrei Lobanov\nMax Planck Institute for Radio Astronomy'
144,1732457,'M. Jaqueline Vasconcelos\nUniversidade Estadual de Santa Cruz'
145,1732457, 'V. Jatenco-Pereira\nUniversity of São Paulo'
146,1732457, 'Reuven Opher\nColumbia University'
147,1732458,'Nick Schurch\nBiomathematics and Statistics Scotland'
148,1732458, 'R. S. Warwick'
149,1732460,'Jonathan Richard Ellis'
150,1732461,'Ignasi Ribas\nSpanish National Research Council'
151,1732461, 'Edward Fitzpatrick\nVillanova University'
152,1732461, 'Frank P. Maloney'
153,1732461, 'Edward F. Guinan\nVillanova University'
154,1732462,'T. P. Krichbaum'
155,1732462, 'A. Witzel'
156,1732462, 'J. Anton Zensus\nMax Planck Institute for Radio Astronomy'
157,1732463,'A. A. Suchkov'
158,1732463, 'A. B. Schultz'
159,1732463, 'Carey Lisse\nJohns Hopkins University'
160,1732464,'Suzanne L. Hawley'
161,1732464, 'Kevin Covey\nWestern Washington University'
162,1732464, 'Gillian R. Knapp'
163,1732464, 'David A. Golimowski'
164,1732465,'C. A. Terrero-Escalante'
165,1732466,'Jeremy Darling\nUniversity of Colorado Boulder'
166,1732466, 'Riccardo Giovanelli\nCornell University'
167,1732467,'Asantha Cooray'
168,1732467, 'Michael Kesden\nUniversity of Texas at Dallas'
169,1732468,'Yasunorifujii'
170,1732469,'McNutt
171,1732469, Jr.
172,1732469, Ralph L'
173,1732469, 'Stefano Livi'
174,1732469, 'Reid S. Gurnee'
175,1732469, 'Matthew E. Hill'
176,1732469, 'Kim A. Cooper'
177,1732469, 'G. Bruce Andrews'
178,1732469, 'Edwin P. Keath'
179,1732469, 'Stamatios M. Krimigis'
180,1732469, 'Donald G. Mitchell'
181,1732469, 'Barry Tossman'
182,1732469, 'F. Bagenal'
183,1732469, 'John Boldt'
184,1732469, 'Walter Bradley'
185,1732469, 'William S. Devereux'
186,1732469, 'George C. Ho'
187,1732469, 'Stephen E. Jaskulek'
188,1732469, 'Thomas W. LeFevere'
189,1732469, 'Horace Malcom'
190,1732469, 'Geoffrey A. Marcus'
191,1732469, 'John R. Hayes'
192,1732469, 'G. Ty Moore'
193,1732469, 'Bruce D. Williams'
194,1732469, 'Paul Wilson IV'
195,1732469, 'Lawrence E. Brown'
196,1732469, 'Martha B. Kusterer'
197,1732469, 'Jon D. Vandegriff'
198,1732470,'Nahum Arav'
199,1732471,'Javier Ballesteros-Paredes\nUniversidad Nacional Autónoma de México'
200,1732471, 'Enrique Vazquez-Semadeni\nUniversidad Nacional Autónoma de México'
201,1732471, 'Alyssa Goodman\nHarvard University'
202,1732472,'Wilfred M Walsh\nNational University of Singapore'
203,1732472, 'G. Thuma'
204,1732472, 'R. Beck'
205,1732472, 'R. Wielebinski'
206,1732473,'E. Battaner\nUniversity of Granada'
207,1732473, 'E. Florido'
208,1732473, 'Jorge Jiménez-Vicente\nUniversity of Granada'
209,1732474,'Alistair Savage\nUniversity of Ottawa'
210,1732475,'Luigi Guzzo\nNational Institute of Astrophysics'
211,1732476,'J N Reeves'
212,1732476, 'Donnamarie Watson'
213,1732476, 'J P Osborne'
214,1732476, 'K. A. Pounds'
215,1732476," ""P T O'Brien"""
216,1732476, 'Alexander D Short'
217,1732476, 'M J L Turner'
218,1732476, 'Mike Watson'
219,1732476, 'K O Mason'
220,1732476, 'Matthias Ehle'
221,1732476, 'N Schartel'
222,1732477,'P. Kahabka'
223,1732478,'Charalampos Skokos\nUniversity of Cape Town'
224,1732478, 'P. A. Patsis\nAcademy of Athens'
225,1732478, 'E. Athanassoula'
226,1732479,'Charalampos Skokos\nUniversity of Cape Town'
227,1732479, 'P. A. Patsis\nAcademy of Athens'
228,1732479, 'E. Athanassoula'
229,1732480,'Fotis Mavromatakis\nHellenic Mediterranean University'
230,1732480, 'P. Boumis\nNational Observatory of Athens'
231,1732480, 'John Papamastorakis'
232,1732480, 'Joseph Ventura'
233,1732481,'Giuliano Preparata'
234,1732481, 'Remo Ruffini\nInternational Center for Relativistic Astrophysics'
235,1732481, 'She-Sheng Xue'
236,1732482,'Elisabetta Memola'
237,1732482, 'Ch. Fendt'
238,1732482, 'W. Brinkmann\nMax Planck Institute for Extraterrestrial Physics'
239,1732483,'Judith G. Cohen'
240,1732483, 'Norbert Christlieb'
241,1732483, 'Timothy C. Beers'
242,1732483, 'Raffaele Gratton'
243,1732484,'Chris D. Impey'
244,1732484, 'Catherine Petry'
245,1732484, 'C. B. Foltz'
246,1732484, 'Paul C. Hewett'
247,1732484, 'Frederic H. Chaffee'
248,1732485,'Wolfram Weise\nTechnische Universität München'
249,1732485, 'Tetsuo Hyodo\nTokyo Institute of Technology'
250,1732486,'Stefan Berge\nJohannes Gutenberg-Universität Mainz'
251,1732486, 'Werner Bernreuther'
252,1732487,'E. G. Berezhko'
253,1732487, 'Leonid T. Ksenofontov\nRussian Academy of Sciences'
254,1732487, 'H. J. Voelk'
255,1732488,'A. Peimbert'
256,1732488, 'M. Peimbert'
257,1732489,'Luis Rodriguez\nUniversidad Nacional Autónoma de México'
258,1732489, 'W. M. Goss'
259,1732489, 'Robert Williams'
260,1732490,'David N. Spergel'
261,1732490, 'Glenn D. Starkman\nCase Western Reserve University'
262,1732491,'Asantha Cooray'
263,1732492,'Gregory Laughlin'
264,1732492, 'John E. Chambers'
265,1732493,'Jesus Pando'
266,1732493, 'Long-Long Feng'
267,1732493, 'Priya Jamkhedkar'
268,1732493, 'Wei Zheng\nUniversity at Buffalo
269,1732493, The State University of New York'
270,1732494,'Jean‐Pierre Macquart'
271,1732494, 'David L. Jauncey'
272,1732495,'Bernd Aschenbach'
273,1732496,'Rafal Latala\nUniversity of Warsaw'
274,1732497,'Stefano Galatolo\nUniversità di Pisa'
275,1732497, 'Mathieu Hoyrup\nNational Institute for Research in Computer Science and Control'
276,1732497, 'Cristobal Rojas\nUniversidad Andrés Bello'
277,1732498,'Claude Vallée\nUniversité de Poitiers'
278,1732498, 'Danielle Fortuné'
279,1732498, 'Camelia Lerintiu'
280,1732499,'Genkai Zhang\nChalmers University of Technology'
281,1732500,'Xinwu Cao\nShanghai Astron. Obs.'
282,1732500, 'J. M. Bai'
283,1732501,'Jarno Talponen\nUniversity of Helsinki'
284,1732502,'Jayaram N. Chengalur\nNational Centre For Radio Astrophysics - Tata Institute Of Fundamental Research'
285,1732502, 'Nissim Kanekar\nNational Centre For Radio Astrophysics - Tata Institute Of Fundamental Research'
286,1732503,'P. O. Petrucci'
287,1732503, 'G. Henri\nUniversity of Grenoble'
288,1732503, 'Laura Maraschi\nNational Institute of Astrophysics'
289,1732503, 'Philippe Ferrando\nAtomic Energy and Alternative Energies Commission'
290,1732504,'P. Kahabka'
291,1732504, 'K. S. de Boer'
292,1732504, 'C. Brüns'
293,1732505,'J. C. Suárez'
294,1732505, 'Estefanía Michel'
295,1732505, 'G. Houdek'
